"","ID","gender","mateID","enzyme","age","gonoCycle","timeDeath","typeDeath","whereTrapped","motherID","fatherID","infStatus","releaseLoc","long","lat","gridID"
"1",621,0,-1,0.404324010014534,21,0,1,1,301,-1,-1,0,-1,145.757078035446,-16.9150538638115,364
"2",1155,0,-1,0.851904604118317,20,0,1,1,301,-1,-1,0,-1,145.757012018023,-16.9151101811905,328
"3",3011,0,-1,0.139817369636148,17,0,1,1,301,-1,-1,0,-1,145.757061653718,-16.9151083625467,364
"4",6925,1,-1,0.156198370736092,20,1,1,1,301,-1,-1,0,-1,145.757032770805,-16.9151273488439,364
"5",7176,1,-1,0.809719650773332,22,1,1,1,284,-1,-1,0,-1,145.757197541224,-16.9154862088829,362
"6",10293,0,-1,0.0114241719711572,21,0,1,1,284,-1,-1,0,-1,145.757094580285,-16.9154779673586,362
"7",13311,0,-1,0.935865751001984,18,0,1,1,284,-1,-1,0,-1,145.757142441879,-16.9154891683318,362
"8",14373,1,-1,0.146067781373858,22,1,1,1,284,-1,-1,0,-1,145.757197244257,-16.9155560953615,362
"9",5904,0,-1,0.91389369755052,22,0,1,1,507,-1,-1,0,-1,145.760000007473,-16.9187262724582,841
"10",14704,0,-1,0.787137657869607,25,0,1,1,507,-1,-1,0,-1,145.759905772892,-16.9186901359479,841
"11",906,0,-1,0.534684599377215,20,0,1,1,271,-1,-1,0,-1,145.756121848483,-16.9159748008927,230
"12",4914,0,-1,0.638909793458879,24,0,1,1,271,-1,-1,0,-1,145.756286218782,-16.9159632229376,260
"13",12480,1,-1,0.906013626139611,19,0,1,1,271,-1,-1,0,-1,145.756200418644,-16.9159739312204,230
"14",4471,0,-1,0.959522363962606,22,0,1,1,623,-1,-1,0,-1,145.763043685573,-16.9220639251912,1528
"15",6851,0,-1,0.640984972240403,20,0,1,1,623,-1,-1,0,-1,145.763145251198,-16.9221125947086,1528
"16",7758,1,-1,0.0304690643679351,18,0,1,1,623,-1,-1,0,-1,145.763206510523,-16.9222363351071,1527
"17",1157,0,-1,0.079820197308436,20,0,1,1,26103,-1,-1,0,-1,145.752989464349,-16.9144441111824,13
"18",2712,1,-1,0.33673245809041,20,1,1,1,26103,-1,-1,0,-1,145.752961727989,-16.9145578022189,13
"19",6916,0,-1,0.328703107777983,20,0,1,1,26103,-1,-1,0,-1,145.752833860485,-16.9144243763648,13
"20",543,0,-1,0.600928461644799,20,0,1,1,900029,-1,-1,0,-1,145.762492813962,-16.9179920819757,1388
"21",2672,1,-1,0.343183429678902,23,1,1,1,900029,-1,-1,0,-1,145.762386326467,-16.9180694253994,1388
"22",3648,1,-1,0.61273144534789,19,0,1,1,900029,-1,-1,0,-1,145.762496882107,-16.9179346538437,1388
"23",12852,1,-1,0.099976260215044,20,1,1,1,900029,-1,-1,0,-1,145.762468529672,-16.917972797265,1388
"24",4114,1,-1,0.42797842505388,16,0,1,1,303,-1,-1,0,-1,145.755735847588,-16.913752945462,185
"25",5617,0,-1,0.612848913529888,22,0,1,1,303,-1,-1,0,-1,145.755684752727,-16.9137504291509,185
"26",7695,0,-1,0.151645109755918,23,0,1,1,303,-1,-1,0,-1,145.755712378841,-16.9138165150378,185
"27",7979,1,-1,0.649578887270764,18,0,1,1,303,-1,-1,0,-1,145.755867091402,-16.9136996877156,211
"28",38,0,-1,0.627234286395833,21,0,1,1,309,-1,-1,0,-1,145.756797206037,-16.9144080153211,330
"29",11129,0,-1,0.778850238770247,19,0,1,1,309,-1,-1,0,-1,145.75676483442,-16.9145109275314,297
"30",13264,1,-1,0.968638514168561,18,0,1,1,309,-1,-1,0,-1,145.756720887382,-16.9144264163731,297
"31",14095,1,-1,0.881324440473691,22,1,1,1,309,-1,-1,0,-1,145.756834619124,-16.9144200812349,330
"32",3971,0,-1,0.176197744207457,17,0,1,1,3543,-1,-1,0,-1,145.763940360934,-16.9239334885388,1641
"33",10874,1,-1,0.494528747163713,22,1,1,1,3543,-1,-1,0,-1,145.764000900945,-16.9241043183583,1641
"34",11688,0,-1,0.885729101253673,19,0,1,1,3543,-1,-1,0,-1,145.764032063492,-16.9240167739789,1673
"35",14838,1,-1,0.356190888909623,19,0,1,1,3543,-1,-1,0,-1,145.763896919984,-16.9241200289922,1641
"36",1367,1,-1,0.427318772533908,21,1,1,1,13424,-1,-1,0,-1,145.765684807269,-16.9197263804333,1835
"37",1983,1,-1,0.281985418172553,22,1,1,1,13424,-1,-1,0,-1,145.765714230213,-16.9197556138235,1835
"38",3576,0,-1,0.198665511794388,16,0,1,1,13424,-1,-1,0,-1,145.76572775285,-16.9198506464298,1835
"39",5789,1,-1,0.547061522025615,18,0,1,1,13424,-1,-1,0,-1,145.765767582753,-16.9198328114927,1835
"40",6955,1,-1,0.0375149028841406,23,1,1,1,13424,-1,-1,0,-1,145.765718583578,-16.919804570781,1835
"41",8137,1,-1,0.451212805463001,23,1,1,1,13424,-1,-1,0,-1,145.765761848145,-16.919743687149,1835
"42",11923,0,-1,0.189964013174176,19,0,1,1,13424,-1,-1,0,-1,145.76566939599,-16.9197728461265,1835
"43",771,0,-1,0.0785730963107198,25,0,1,1,44074,-1,-1,0,-1,145.760963349101,-16.9236024310791,1024
"44",3990,1,-1,0.621453083818778,23,1,1,1,44074,-1,-1,0,-1,145.760993786774,-16.9234949433484,1024
"45",10978,1,-1,0.143629434052855,21,1,1,1,44074,-1,-1,0,-1,145.760824011878,-16.9235831204429,1024
"46",12291,1,-1,0.724076366517693,23,1,1,1,44074,-1,-1,0,-1,145.760944388287,-16.9235373246729,1024
"47",3943,0,-1,0.795124597847462,16,0,1,1,35611,-1,-1,0,-1,145.761186558953,-16.9199699407196,1092
"48",4961,0,-1,0.331335842609406,17,0,1,1,35611,-1,-1,0,-1,145.761176830839,-16.9200355796509,1092
"49",6865,0,-1,0.573609255952761,22,0,1,1,35611,-1,-1,0,-1,145.761182318445,-16.9200238219782,1092
"50",2505,0,-1,0.404287898680195,17,0,1,1,6511,-1,-1,0,-1,145.762346763539,-16.9203076232458,1379
"51",10137,1,-1,0.545012744842097,18,0,1,1,6511,-1,-1,0,-1,145.762314893248,-16.920284117615,1379
"52",14114,0,-1,0.915154173737392,19,0,1,1,6511,-1,-1,0,-1,145.762341415531,-16.9203259723566,1379
"53",6584,1,-1,0.76693925098516,18,0,1,1,12036,-1,-1,0,-1,145.761956690769,-16.9212752804949,1260
"54",10893,0,-1,0.394036365672946,20,0,1,1,12036,-1,-1,0,-1,145.761840497306,-16.921386545335,1260
"55",11592,1,-1,0.845318526960909,20,1,1,1,12036,-1,-1,0,-1,145.762026737333,-16.9212718105546,1318
"56",14270,1,-1,0.279962960397825,17,0,1,1,12036,-1,-1,0,-1,145.761883948209,-16.9214323627203,1259
"57",2028,0,-1,0.959181500133127,16,0,1,1,26687,-1,-1,0,-1,145.760575569864,-16.9211448083954,981
"58",2990,1,-1,0.68321160459891,20,1,1,1,26687,-1,-1,0,-1,145.760501481063,-16.9211306309931,930
"59",8603,0,-1,0.157708194572479,19,0,1,1,26687,-1,-1,0,-1,145.760518845945,-16.9211686422858,929
"60",11113,1,-1,0.821347063407302,20,1,1,1,26687,-1,-1,0,-1,145.760510723572,-16.9211277535053,930
"61",7419,1,-1,0.880278806434944,22,1,1,1,23463,-1,-1,0,-1,145.761144236812,-16.9171799676302,1103
"62",7520,0,-1,0.697900445666164,19,0,1,1,23463,-1,-1,0,-1,145.761114001789,-16.9171191645493,1104
"63",8172,0,-1,0.568841598695144,19,0,1,1,23463,-1,-1,0,-1,145.761059019479,-16.9172401314613,1103
"64",8341,0,-1,0.892780740512535,19,0,1,1,23463,-1,-1,0,-1,145.761131955502,-16.9171665349178,1103
"65",10937,0,-1,0.760823111515492,21,0,1,1,23463,-1,-1,0,-1,145.761037685529,-16.9171891581388,1103
"66",13428,0,-1,0.0893489769659936,20,0,1,1,23463,-1,-1,0,-1,145.761053427601,-16.9172554685319,1103
"67",1999,1,-1,0.521465241676196,22,1,1,1,573,-1,-1,0,-1,145.761544142678,-16.9234153365175,1193
"68",4216,1,-1,0.412706800270826,23,1,1,1,573,-1,-1,0,-1,145.76156743692,-16.9233016854926,1194
"69",4352,1,-1,0.921607832657173,22,1,1,1,573,-1,-1,0,-1,145.761690631638,-16.9233586869742,1194
"70",5974,1,-1,0.907298277597874,20,1,1,1,573,-1,-1,0,-1,145.76158469269,-16.9233625113025,1194
"71",7077,1,-1,0.722477461909875,17,0,1,1,573,-1,-1,0,-1,145.761667163882,-16.9234029676418,1193
"72",389,1,-1,0.358665316831321,20,1,1,1,619,-1,-1,0,-1,145.763301424041,-16.9230406118754,1569
"73",3813,0,-1,0.300372805446386,19,0,1,1,619,-1,-1,0,-1,145.763170879997,-16.9231256403428,1524
"74",13645,0,-1,0.792105439584702,21,0,1,1,619,-1,-1,0,-1,145.763239677968,-16.9230230340269,1524
"75",7448,1,-1,0.197588076116517,17,0,1,1,626,-1,-1,0,-1,145.763243974908,-16.9223740280701,1527
"76",7744,0,-1,0.0183060942217708,20,0,1,1,626,-1,-1,0,-1,145.763324540309,-16.9223513686777,1572
"77",8339,1,-1,0.243066436145455,18,0,1,1,626,-1,-1,0,-1,145.763286801602,-16.9224407721953,1571
"78",10973,0,-1,0.750464726705104,17,0,1,1,626,-1,-1,0,-1,145.763261319959,-16.922271876622,1527
"79",11584,1,-1,0.787747528636828,21,1,1,1,626,-1,-1,0,-1,145.76331912972,-16.9223568083919,1572
"80",12995,0,-1,0.0873222730588168,21,0,1,1,626,-1,-1,0,-1,145.763262159015,-16.9222732652065,1527
"81",2215,1,-1,0.581417600624263,19,0,1,1,651,-1,-1,0,-1,145.763501211841,-16.9211191965939,1577
"82",6815,0,-1,0.589191335020587,18,0,1,1,651,-1,-1,0,-1,145.763353140927,-16.9211304944449,1577
"83",11266,0,-1,0.256971135502681,23,0,1,1,651,-1,-1,0,-1,145.763443269719,-16.9211665416678,1576
"84",14051,1,-1,0.985328251030296,19,0,1,1,651,-1,-1,0,-1,145.763344977196,-16.9210031834171,1577
"85",2037,0,-1,0.530480285175145,22,0,1,1,35627,-1,-1,0,-1,145.758473916722,-16.916461169507,562
"86",3331,1,-1,0.661497799912468,20,1,1,1,35627,-1,-1,0,-1,145.758515499846,-16.9165270139399,562
"87",7699,1,-1,0.245062834816054,23,1,1,1,35627,-1,-1,0,-1,145.758463614618,-16.9164193277926,562
"88",8088,1,-1,0.321964470669627,17,0,1,1,35627,-1,-1,0,-1,145.758484583267,-16.9164402627633,562
"89",14900,1,-1,0.108007642207667,20,1,1,1,35627,-1,-1,0,-1,145.758482007778,-16.9164702112579,562
"90",1994,0,-1,0.102932947454974,20,0,1,1,240,-1,-1,0,-1,145.754830804999,-16.9154133014925,112
"91",7002,1,-1,0.84601819771342,15,0,1,1,240,-1,-1,0,-1,145.754885360862,-16.915479998769,112
"92",7127,0,-1,0.297367153922096,19,0,1,1,240,-1,-1,0,-1,145.754836132876,-16.9154687202993,112
"93",8508,0,-1,0.839391489746049,20,0,1,1,240,-1,-1,0,-1,145.754857022104,-16.9154846858586,112
"94",1432,1,-1,0.0907442949246615,19,0,1,1,23970,-1,-1,0,-1,145.766437891572,-16.9204147367694,1891
"95",2454,0,-1,0.994957496644929,16,0,1,1,23970,-1,-1,0,-1,145.766499770295,-16.9204336333993,1891
"96",11882,1,-1,0.479360081953928,18,0,1,1,23970,-1,-1,0,-1,145.76633724001,-16.9204599611518,1891
"97",12461,1,-1,0.0587353778537363,19,0,1,1,23970,-1,-1,0,-1,145.766393649908,-16.920517715184,1891
"98",6965,0,-1,0.0643864928279072,20,0,1,1,478,-1,-1,0,-1,145.761332873499,-16.9186637928474,1153
"99",9462,1,-1,0.189150062855333,22,1,1,1,478,-1,-1,0,-1,145.761378442914,-16.9186958436597,1153
"100",11647,0,-1,0.114631631877273,18,0,1,1,478,-1,-1,0,-1,145.761445157993,-16.9187054109377,1153
"101",14903,0,-1,0.576448026113212,19,0,1,1,478,-1,-1,0,-1,145.761360006242,-16.9186650385199,1153
"102",1648,0,-1,0.901904641184956,18,0,1,1,494,-1,-1,0,-1,145.760192692678,-16.9193328521699,888
"103",1653,1,-1,0.672094443347305,20,1,1,1,494,-1,-1,0,-1,145.760115649736,-16.9193038837934,888
"104",2216,1,-1,0.946910787839442,23,1,1,1,494,-1,-1,0,-1,145.760025731165,-16.9192239134809,839
"105",2834,1,-1,0.426771268248558,17,0,1,1,494,-1,-1,0,-1,145.760113255226,-16.9193243919496,888
"106",4446,1,-1,0.526268044719473,22,1,1,1,494,-1,-1,0,-1,145.760104696093,-16.9193553839242,888
"107",8966,0,-1,0.470475445268676,22,0,1,1,494,-1,-1,0,-1,145.760185728183,-16.9193621453877,888
"108",2974,1,-1,0.880759586347267,16,0,1,1,435,-1,-1,0,-1,145.759279689639,-16.9174262543354,750
"109",4434,0,-1,0.855384790338576,19,0,1,1,435,-1,-1,0,-1,145.759315740192,-16.9175246549312,750
"110",11422,0,-1,0.774686372838914,18,0,1,1,435,-1,-1,0,-1,145.759256820807,-16.9174885844449,702
"111",14329,1,-1,0.167616873979568,22,1,1,1,435,-1,-1,0,-1,145.759368572623,-16.9174896172573,750
"112",1565,1,-1,0.0178348158951849,19,0,1,1,22950,-1,-1,0,-1,145.763179321106,-16.9189638241246,1540
"113",2807,0,-1,0.768077343003824,23,0,1,1,22950,-1,-1,0,-1,145.763117929195,-16.9190382627604,1540
"114",8581,0,-1,0.747345966985449,21,0,1,1,22950,-1,-1,0,-1,145.763094123591,-16.9189315034735,1540
"115",11293,0,-1,0.882183813024312,21,0,1,1,22950,-1,-1,0,-1,145.763102403302,-16.9189120348573,1540
"116",11301,0,-1,0.478576277848333,22,0,1,1,22950,-1,-1,0,-1,145.763105755105,-16.9189083371563,1540
"117",453,1,-1,0.104796958388761,21,1,1,1,67089,-1,-1,0,-1,145.764387383545,-16.9186419419575,1724
"118",717,1,-1,0.0379495129454881,18,0,1,1,67089,-1,-1,0,-1,145.76433946515,-16.9185465937935,1724
"119",3853,1,-1,0.974807825637981,20,1,1,1,67089,-1,-1,0,-1,145.764356055859,-16.9185527482677,1724
"120",4791,0,-1,0.646402764832601,19,0,1,1,67089,-1,-1,0,-1,145.76450546411,-16.9187170081357,1723
"121",3012,0,-1,0.538189040962607,20,0,1,1,21693,-1,-1,0,-1,145.763763996263,-16.9197656707082,1623
"122",3520,0,-1,0.98624242679216,21,0,1,1,21693,-1,-1,0,-1,145.763797087927,-16.9197829037097,1658
"123",5245,1,-1,0.198218533536419,22,1,1,1,21693,-1,-1,0,-1,145.763710808545,-16.9197347730813,1623
"124",11400,1,-1,0.146102976985276,18,0,1,1,21693,-1,-1,0,-1,145.76377540696,-16.9197609886917,1623
"125",14624,1,-1,0.625389371765777,25,1,1,1,21693,-1,-1,0,-1,145.76388840524,-16.9197916407765,1658
"126",4754,1,-1,0.997664594557136,23,1,1,1,55377,-1,-1,0,-1,145.763071778672,-16.9170861986645,1548
"127",11060,1,-1,0.361573633737862,20,1,1,1,55377,-1,-1,0,-1,145.762999232261,-16.9171652491533,1499
"128",3882,0,-1,0.163888711249456,19,0,1,1,26646,-1,-1,0,-1,145.764256806082,-16.9208856626798,1686
"129",10391,1,-1,0.0350169877056032,21,1,1,1,26646,-1,-1,0,-1,145.764311981682,-16.9209117095074,1714
"130",12300,1,-1,0.324541894020513,20,1,1,1,36629,-1,-1,0,-1,145.764792130654,-16.9205381800323,1768
"131",12429,1,-1,0.29184858687222,18,0,1,1,36629,-1,-1,0,-1,145.764819519229,-16.9205229959331,1768
"132",12548,0,-1,0.688319553388283,21,0,1,1,36629,-1,-1,0,-1,145.764850746525,-16.9205214140341,1768
"133",6982,1,-1,0.375717882765457,20,1,1,1,38864,-1,-1,0,-1,145.766373548652,-16.9223883234697,1884
"134",13502,0,-1,0.45479740947485,23,0,1,1,38864,-1,-1,0,-1,145.766227427658,-16.9223139222382,1864
"135",6,0,-1,0.453924084315076,21,0,1,0,-1,-1,-1,0,-1,145.76908761304,-16.9195066558658,2120
"136",7,1,-1,0.752364199142903,22,1,1,0,-1,-1,-1,0,-1,145.768543186256,-16.9213757553068,2071
"137",10,0,-1,0.258034476079047,18,0,1,0,-1,-1,-1,0,-1,145.761022548416,-16.9209556359351,1034
"138",13,0,-1,0.765975710004568,18,0,1,0,-1,-1,-1,0,-1,145.763072650369,-16.9146601568928,1552
"139",44,1,-1,0.572177307680249,23,1,1,0,-1,-1,-1,0,-1,145.768359683293,-16.9203997447261,2055
"140",59,1,-1,0.806517905555665,22,1,1,0,-1,-1,-1,0,-1,145.763460608151,-16.9167579082535,1594
"141",61,1,-1,0.984574265312403,20,1,1,0,-1,-1,-1,0,-1,145.76198486568,-16.9152385993243,1284
"142",69,0,-1,0.957126684021205,19,0,1,0,-1,-1,-1,0,-1,145.76113272584,-16.9157932837233,1109
"143",102,0,-1,0.535957379732281,20,0,1,0,-1,-1,-1,0,-1,145.763067852367,-16.9227224369084,1525
"144",107,1,-1,0.634180315304548,21,1,1,0,-1,-1,-1,0,-1,145.757117745916,-16.9145685302178,366
"145",125,0,-1,0.316715148277581,16,0,1,0,-1,-1,-1,0,-1,145.763116501528,-16.9221484598768,1528
"146",134,1,-1,0.502521738642827,21,1,1,0,-1,-1,-1,0,-1,145.760952500778,-16.9215082052018,1032
"147",150,1,-1,0.844201211119071,21,1,1,0,-1,-1,-1,0,-1,145.767559743973,-16.920061334268,1994
"148",151,0,-1,0.846533141098917,20,0,1,0,-1,-1,-1,0,-1,145.763681547099,-16.9227776265447,1611
"149",157,0,-1,0.475787962321192,18,0,1,0,-1,-1,-1,0,-1,145.768005207189,-16.9169602243123,2027
"150",159,0,-1,0.398608824238181,22,0,1,0,-1,-1,-1,0,-1,145.768435108419,-16.9195428513732,2058
"151",194,0,-1,0.712933481670916,19,0,1,0,-1,-1,-1,0,-1,145.76031689611,-16.9170609876941,946
"152",197,0,-1,0.262394179357216,23,0,1,0,-1,-1,-1,0,-1,145.756327339487,-16.9157890537129,261
"153",208,1,-1,0.936986091313884,21,1,1,0,-1,-1,-1,0,-1,145.755862157031,-16.9137417556585,211
"154",217,0,-1,0.00897734193131328,21,0,1,0,-1,-1,-1,0,-1,145.759882163239,-16.9141962014077,859
"155",240,1,-1,0.2432360725943,22,1,1,0,-1,-1,-1,0,-1,145.768602589152,-16.9190945436074,2080
"156",245,1,-1,0.393465584143996,20,1,1,0,-1,-1,-1,0,-1,145.757285874227,-16.9145721273874,403
"157",249,0,-1,0.893394785001874,17,0,1,0,-1,-1,-1,0,-1,145.756448622807,-16.9159680454037,260
"158",268,0,-1,0.558548946166411,18,0,1,0,-1,-1,-1,0,-1,145.755836352399,-16.9140281199893,210
"159",272,0,-1,0.86511713382788,18,0,1,0,-1,-1,-1,0,-1,145.761241959874,-16.9205588612784,1090
"160",276,1,-1,0.0218143756501377,20,1,1,0,-1,-1,-1,0,-1,145.761703944286,-16.9218328250187,1200
"161",283,0,-1,0.00733086979016662,20,0,1,0,-1,-1,-1,0,-1,145.754853247396,-16.9158026882894,111
"162",290,1,-1,0.247062011621892,20,1,1,0,-1,-1,-1,0,-1,145.763622287221,-16.918161477553,1629
"163",292,1,-1,0.221204093657434,21,1,1,0,-1,-1,-1,0,-1,145.756018915721,-16.9136516288699,211
"164",303,1,-1,0.410336721688509,22,1,1,0,-1,-1,-1,0,-1,145.763856373768,-16.9226272907663,1647
"165",331,0,-1,0.562835365068167,20,0,1,0,-1,-1,-1,0,-1,145.765864438045,-16.9228052728244,1842
"166",334,0,-1,0.651003795210272,17,0,1,0,-1,-1,-1,0,-1,145.755699101026,-16.9139170311779,184
"167",345,0,-1,0.548157428856939,18,0,1,0,-1,-1,-1,0,-1,145.75289823972,-16.9146669576532,12
"168",360,1,-1,0.605765377636999,23,1,1,0,-1,-1,-1,0,-1,145.764302680514,-16.9177841884185,1726
"169",366,1,-1,0.540541706373915,20,1,1,0,-1,-1,-1,0,-1,145.75468572431,-16.9164344774747,90
"170",367,0,-1,0.679694253019989,19,0,1,0,-1,-1,-1,0,-1,145.76481168533,-16.9209991364592,1766
"171",370,0,-1,0.526830999646336,22,0,1,0,-1,-1,-1,0,-1,145.76251580957,-16.9153136990891,1399
"172",373,0,-1,0.817138334037736,18,0,1,0,-1,-1,-1,0,-1,145.75630903196,-16.9154439788526,262
"173",383,1,-1,0.807626238791272,18,0,1,0,-1,-1,-1,0,-1,145.762355945214,-16.9137146652446,1405
"174",386,0,-1,0.262320660287514,24,0,1,0,-1,-1,-1,0,-1,145.764038090124,-16.9190155904214,1693
"175",401,1,-1,0.759409621357918,21,1,1,0,-1,-1,-1,0,-1,145.755114986604,-16.9167853488224,127
"176",413,1,-1,0.0659631742164493,19,0,1,0,-1,-1,-1,0,-1,145.757083449464,-16.9152062580847,363
"177",420,1,-1,0.976419633952901,16,0,1,0,-1,-1,-1,0,-1,145.761192417201,-16.9176299675829,1102
"178",423,1,-1,0.877917814999819,18,0,1,0,-1,-1,-1,0,-1,145.764667047437,-16.9242950572892,1728
"179",424,0,-1,0.359831780428067,24,0,1,0,-1,-1,-1,0,-1,145.758003484375,-16.9149855919559,481
"180",444,0,-1,0.838615235639736,20,0,1,0,-1,-1,-1,0,-1,145.762173580573,-16.9211218646145,1319
"181",447,1,-1,0.235736144706607,21,1,1,0,-1,-1,-1,0,-1,145.761659531563,-16.9120164790071,1239
"182",459,0,-1,0.335286347195506,23,0,1,0,-1,-1,-1,0,-1,145.762292410893,-16.919661329435,1381
"183",472,0,-1,0.886318069882691,18,0,1,0,-1,-1,-1,0,-1,145.767877057225,-16.9205461758021,2013
"184",487,1,-1,0.398665694752708,24,1,1,0,-1,-1,-1,0,-1,145.760190268028,-16.918256589967,892
"185",498,1,-1,0.87487276038155,25,1,1,0,-1,-1,-1,0,-1,145.767672967536,-16.9196219938951,1996
"186",506,0,-1,0.602620819117874,20,0,1,0,-1,-1,-1,0,-1,145.76601532751,-16.9203695917922,1852
"187",508,1,-1,0.052314403699711,20,1,1,0,-1,-1,-1,0,-1,145.768871200416,-16.9190279858696,2101
"188",515,0,-1,0.781627324642614,22,0,1,0,-1,-1,-1,0,-1,145.756117733528,-16.9167954947274,227
"189",524,0,-1,0.608689217595384,22,0,1,0,-1,-1,-1,0,-1,145.764555502393,-16.9226847950105,1734
"190",528,0,-1,0.48439831007272,20,0,1,0,-1,-1,-1,0,-1,145.765534434112,-16.9231802297432,1821
"191",532,1,-1,0.811627464368939,16,0,1,0,-1,-1,-1,0,-1,145.763567940483,-16.9224597682492,1612
"192",538,0,-1,0.9990050108172,21,0,1,0,-1,-1,-1,0,-1,145.765513426449,-16.9230349785892,1802
"193",566,1,-1,0.133220333140343,18,0,1,0,-1,-1,-1,0,-1,145.758607883139,-16.9177797945085,604
"194",582,0,-1,0.912577222799882,19,0,1,0,-1,-1,-1,0,-1,145.76192718005,-16.9132702495115,1292
"195",585,0,-1,0.0970769356936216,18,0,1,0,-1,-1,-1,0,-1,145.767629737734,-16.9200717598683,1994
"196",587,0,-1,0.819522076752037,21,0,1,0,-1,-1,-1,0,-1,145.761371999827,-16.9190300461798,1152
"197",594,0,-1,0.448762685293332,23,0,1,0,-1,-1,-1,0,-1,145.763657249208,-16.9173420363373,1633
"198",595,1,-1,0.991562228417024,20,1,1,0,-1,-1,-1,0,-1,145.768959584638,-16.9171411154394,2109
"199",598,1,-1,0.985386151820421,19,0,1,0,-1,-1,-1,0,-1,145.770182759577,-16.9198231788409,2182
"200",611,1,-1,0.364977138815448,21,1,1,0,-1,-1,-1,0,-1,145.755241583162,-16.9161313026692,130
"201",648,1,-1,0.693490403471515,21,1,1,0,-1,-1,-1,0,-1,145.763465140404,-16.9164209220878,1594
"202",665,1,-1,0.251846481347457,18,0,1,0,-1,-1,-1,0,-1,145.768769365209,-16.9204493937435,2074
"203",668,0,-1,0.880588548257947,22,0,1,0,-1,-1,-1,0,-1,145.764575584576,-16.9244618776581,1727
"204",686,0,-1,0.751618013484403,21,0,1,0,-1,-1,-1,0,-1,145.758663825789,-16.9166979470944,608
"205",694,1,-1,0.470960408216342,20,1,1,0,-1,-1,-1,0,-1,145.765011332509,-16.9235824098998,1756
"206",701,1,-1,0.120920053450391,22,1,1,0,-1,-1,-1,0,-1,145.762388145177,-16.9193567280807,1383
"207",705,1,-1,0.49275727244094,19,0,1,0,-1,-1,-1,0,-1,145.755243684493,-16.9174134239545,124
"208",706,1,-1,0.153533616103232,17,0,1,0,-1,-1,-1,0,-1,145.769565739569,-16.9185294420997,2160
"209",713,1,-1,0.910175374243408,19,0,1,0,-1,-1,-1,0,-1,145.760349532778,-16.9140633749847,958
"210",730,1,-1,0.933783046202734,20,1,1,0,-1,-1,-1,0,-1,145.762899907011,-16.9141413798979,1508
"211",777,1,-1,0.375037747435272,18,0,1,0,-1,-1,-1,0,-1,145.76176399261,-16.9128489946073,1236
"212",781,1,-1,0.529353882418945,19,0,1,0,-1,-1,-1,0,-1,145.764266801688,-16.9183722967859,1696
"213",785,1,-1,0.0252144171390682,21,1,1,0,-1,-1,-1,0,-1,145.765233721159,-16.9179444609438,1797
"214",788,0,-1,0.421429364476353,21,0,1,0,-1,-1,-1,0,-1,145.762953420889,-16.9153976597251,1504
"215",791,0,-1,0.945394037291408,20,0,1,0,-1,-1,-1,0,-1,145.767087574156,-16.9189310704721,1958
"216",807,0,-1,0.155468363547698,17,0,1,0,-1,-1,-1,0,-1,145.759325855515,-16.9176132966566,750
"217",814,0,-1,0.631810340564698,22,0,1,0,-1,-1,-1,0,-1,145.760584378681,-16.9183589741136,992
"218",820,1,-1,0.26906479196623,18,0,1,0,-1,-1,-1,0,-1,145.757803925953,-16.9160700631685,477
"219",821,1,-1,0.300220628501847,22,1,1,0,-1,-1,-1,0,-1,145.75315795306,-16.9145374777397,20
"220",846,1,-1,0.558409153250977,22,1,1,0,-1,-1,-1,0,-1,145.764799694348,-16.9202578329032,1769
"221",876,1,-1,0.801106701837853,21,1,1,0,-1,-1,-1,0,-1,145.762831955473,-16.9134100843403,1510
"222",877,0,-1,0.662810657871887,22,0,1,0,-1,-1,-1,0,-1,145.762012202981,-16.9236304395752,1251
"223",887,0,-1,0.248441870091483,21,0,1,0,-1,-1,-1,0,-1,145.760980888702,-16.9147992677778,1059
"224",893,0,-1,0.870882804039866,23,0,1,0,-1,-1,-1,0,-1,145.759744665124,-16.9189468506805,792
"225",907,1,-1,0.847889703931287,22,1,1,0,-1,-1,-1,0,-1,145.762041226863,-16.9222340251828,1314
"226",952,1,-1,0.418859476689249,17,0,1,0,-1,-1,-1,0,-1,145.754371568696,-16.9137620722706,84
"227",960,1,-1,0.962167613441125,22,1,1,0,-1,-1,-1,0,-1,145.761099801202,-16.9209217473263,1088
"228",970,0,-1,0.0149280102923512,19,0,1,0,-1,-1,-1,0,-1,145.76404206559,-16.9243907680237,1672
"229",984,1,-1,0.665500336559489,21,1,1,0,-1,-1,-1,0,-1,145.762045852604,-16.9129818345498,1351
"230",991,0,-1,0.918737523956224,22,0,1,0,-1,-1,-1,0,-1,145.768125542963,-16.9166709778872,2048
"231",1004,1,-1,0.701014249352738,20,1,1,0,-1,-1,-1,0,-1,145.760445698321,-16.9136044736277,960
"232",1015,1,-1,0.651076710550115,20,1,1,0,-1,-1,-1,0,-1,145.764087954728,-16.9177555064069,1698
"233",1026,0,-1,0.0595582940150052,20,0,1,0,-1,-1,-1,0,-1,145.760205504181,-16.9177558477839,894
"234",1029,1,-1,0.857612345600501,19,0,1,0,-1,-1,-1,0,-1,145.758114664779,-16.9154809107836,522
"235",1031,1,-1,0.169746599625796,18,0,1,0,-1,-1,-1,0,-1,145.755729738573,-16.9159552946083,176
"236",1046,1,-1,0.467309119645506,21,1,1,0,-1,-1,-1,0,-1,145.762084913841,-16.9198078035356,1324
